entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-06-05 16:51:00+00:00,0.05,71485.5,2024-06-07 17:58:00+00:00,0.05,70055.79,99.95,1.901,1.9,1.9,Short,Closed,TP - Static,10190.0
2024-06-08 10:37:00+00:00,0.05,69441.1,2024-06-10 15:45:00+00:00,0.05,70135.51100000001,99.95,-1.1005,-1.1,0.7791,Short,Closed,SL - Static,10077.92
2024-06-11 02:21:00+00:00,0.05,68169.9,2024-06-11 06:56:00+00:00,0.05,67488.20099999999,99.95,-1.0995,-1.099,-0.3285,Long,Closed,SL - Static,9967.17
2024-06-11 11:14:00+00:00,0.05,67032.4,2024-06-12 09:54:00+00:00,0.05,67702.724,99.95,-1.1005,-1.1,-1.4248,Short,Closed,SL - Static,9857.53
2024-06-12 12:32:00+00:00,0.05,68833.3,2024-06-12 13:04:00+00:00,0.05,69521.633,99.95,-1.1005,-1.1,-2.5092,Short,Closed,SL - Static,9749.11
2024-06-12 19:34:00+00:00,0.05,68400.1,2024-06-13 03:38:00+00:00,0.05,67032.098,99.95,1.901,1.9,-0.6569,Short,Closed,TP - Static,9934.34
2024-06-13 06:46:00+00:00,0.05,67410.1,2024-06-13 12:30:00+00:00,0.05,68084.201,99.95,-1.1005,-1.1,-1.7496,Short,Closed,SL - Static,9825.07
2024-06-13 15:53:00+00:00,0.05,66553.2,2024-06-14 05:46:00+00:00,0.05,67218.732,99.95,-1.1005,-1.1,-2.8304,Short,Closed,SL - Static,9717.0
2024-06-14 16:45:00+00:00,0.05,65288.600000000006,2024-06-14 21:36:00+00:00,0.05,66594.372,99.95,1.899,1.8981,-0.986,Long,Closed,TP - Static,9901.43
2024-06-15 08:09:00+00:00,0.05,66151.6,2024-06-16 08:10:00+00:00,0.05,66279.7,100.02,-0.2937,-0.2938,-1.2769,Short,Closed,SL - Direction Change,9865.32
2024-06-16 08:10:00+00:00,0.05,66279.7,2024-06-17 09:56:00+00:00,0.05,65616.90299999999,99.95,-1.0995,-1.099,-2.3619,Long,Closed,SL - Static,9763.87
2024-06-17 17:02:00+00:00,0.05,66037.8,2024-06-17 18:00:00+00:00,0.05,66698.178,99.95,-1.1005,-1.1,-3.4359,Short,Closed,SL - Static,9656.47
2024-06-18 01:48:00+00:00,0.05,64618.4,2024-06-18 02:26:00+00:00,0.05,65264.584,99.95,-1.1005,-1.1,-4.4981,Short,Closed,SL - Static,9550.26
2024-06-18 12:20:00+00:00,0.05,65196.0,2024-06-18 18:05:00+00:00,0.05,64394.9,99.95,1.1294,1.1288,-3.4201,Short,Closed,TP - Direction Change,9658.2
2024-06-18 18:05:00+00:00,0.05,64394.90000000001,2024-06-19 02:49:00+00:00,0.05,65180.5,100.09,1.1194,1.1204,-2.338,Long,Closed,TP - Direction Change,9752.42
2024-06-19 02:49:00+00:00,0.05,65180.5,2024-06-20 07:17:00+00:00,0.05,65832.30500000001,99.95,-1.1005,-1.1,-3.4123,Short,Closed,SL - Static,9658.69
2024-06-20 10:18:00+00:00,0.05,65728.1,2024-06-20 11:08:00+00:00,0.05,66385.38100000001,99.95,-1.1005,-1.1,-4.4747,Short,Closed,SL - Static,9552.45
2024-06-20 18:18:00+00:00,0.05,65020.90000000001,2024-06-21 08:49:00+00:00,0.05,63720.482,99.95,1.901,1.9,-2.6598,Short,Closed,TP - Static,9733.95
2024-06-21 09:28:00+00:00,0.05,63786.7,2024-06-21 20:19:00+00:00,0.05,64424.566999999995,99.95,-1.1005,-1.1,-3.7305,Short,Closed,SL - Static,9626.89
2024-06-22 17:56:00+00:00,0.05,64227.2,2024-06-24 00:05:00+00:00,0.05,62942.655999999995,99.95,1.901,1.9,-1.9014,Short,Closed,TP - Static,9809.8
2024-06-24 06:44:00+00:00,0.05,62358.1,2024-06-24 09:33:00+00:00,0.05,61110.937999999995,99.95,1.901,1.9,-0.0375,Short,Closed,TP - Static,9996.19
2024-06-24 14:04:00+00:00,0.05,61521.0,2024-06-24 15:49:00+00:00,0.05,60905.79,99.95,-1.0995,-1.099,-1.1361,Long,Closed,SL - Static,9886.34
2024-06-24 19:06:00+00:00,0.05,60428.3,2024-06-24 19:41:00+00:00,0.05,59824.017,99.95,-1.0995,-1.099,-2.2226,Long,Closed,SL - Static,9777.69
2024-06-25 02:48:00+00:00,0.05,60662.90000000001,2024-06-25 14:28:00+00:00,0.05,61876.158,99.95,1.899,1.8981,-0.3667,Long,Closed,TP - Static,9963.28
2024-06-25 20:40:00+00:00,0.05,62004.7,2024-06-26 08:18:00+00:00,0.05,61384.653,99.95,-1.0995,-1.099,-1.4617,Long,Closed,SL - Static,9853.79
2024-06-26 12:11:00+00:00,0.05,61441.3,2024-06-26 19:01:00+00:00,0.05,60826.887,99.95,-1.0995,-1.099,-2.5446,Long,Closed,SL - Static,9745.5
2024-06-26 20:47:00+00:00,0.05,60865.4,2024-06-27 14:00:00+00:00,0.05,62082.708000000006,99.95,1.899,1.8981,-0.6948,Long,Closed,TP - Static,9930.47
2024-06-28 00:08:00+00:00,0.05,61668.0,2024-06-28 14:18:00+00:00,0.05,61051.32,99.95,-1.0995,-1.099,-1.7862,Long,Closed,SL - Static,9821.34
2024-06-28 23:28:00+00:00,0.05,60392.4,2024-06-30 07:08:00+00:00,0.05,61600.248,99.95,1.899,1.8981,0.078,Long,Closed,TP - Static,10007.76
2024-06-30 19:16:00+00:00,0.05,61938.0,2024-07-01 01:06:00+00:00,0.05,63176.76,99.95,1.899,1.8981,1.9776,Long,Closed,TP - Static,10197.71
2024-07-01 08:06:00+00:00,0.05,63264.8,2024-07-02 12:22:00+00:00,0.05,62809.7,100.03,0.6197,0.6199,2.6098,Short,Closed,TP - Direction Change,10252.32
2024-07-02 12:22:00+00:00,0.05,62809.7,2024-07-02 14:36:00+00:00,0.05,62181.602999999996,99.95,-1.0995,-1.099,1.4821,Long,Closed,SL - Static,10148.11
2024-07-03 01:46:00+00:00,0.05,62062.7,2024-07-03 01:55:00+00:00,0.05,61442.073,99.95,-1.0995,-1.099,0.3668,Long,Closed,SL - Static,10036.59
2024-07-03 12:13:00+00:00,0.05,60167.899999999994,2024-07-03 20:59:00+00:00,0.05,59566.221,99.95,-1.0995,-1.099,-0.7362,Long,Closed,SL - Static,9926.29
2024-07-03 21:01:00+00:00,0.05,59606.3,2024-07-04 01:54:00+00:00,0.05,59010.237,99.95,-1.0995,-1.099,-1.8271,Long,Closed,SL - Static,9817.21
2024-07-04 06:08:00+00:00,0.05,58839.99999999999,2024-07-04 07:53:00+00:00,0.05,58251.6,99.95,-1.0995,-1.099,-2.9061,Long,Closed,SL - Static,9709.32
2024-07-04 11:38:00+00:00,0.05,57708.2,2024-07-04 13:01:00+00:00,0.05,57131.117999999995,99.95,-1.0995,-1.099,-3.9731,Long,Closed,SL - Static,9602.62
2024-07-04 17:02:00+00:00,0.05,58280.0,2024-07-04 23:34:00+00:00,0.05,57697.2,99.95,-1.0995,-1.099,-5.0285,Long,Closed,SL - Static,9497.09
2024-07-05 00:20:00+00:00,0.05,56977.399999999994,2024-07-05 02:53:00+00:00,0.05,56407.626000000004,99.95,-1.0995,-1.099,-6.0722,Long,Closed,SL - Static,9392.72
2024-07-05 03:30:00+00:00,0.05,55428.40000000001,2024-07-05 04:17:00+00:00,0.05,54874.116,99.95,-1.0995,-1.099,-7.1045,Long,Closed,SL - Static,9289.5
2024-07-05 07:31:00+00:00,0.05,54260.5,2024-07-05 10:15:00+00:00,0.05,55345.71,99.95,1.899,1.8981,-5.3412,Long,Closed,TP - Static,9465.82
2024-07-05 12:43:00+00:00,0.05,55271.8,2024-07-05 15:05:00+00:00,0.05,56377.236000000004,99.95,1.899,1.8981,-3.5445,Long,Closed,TP - Static,9645.49
2024-07-05 17:44:00+00:00,0.05,56646.8,2024-07-05 18:14:00+00:00,0.05,56080.332,99.95,-1.0995,-1.099,-4.6045,Long,Closed,SL - Static,9539.49
2024-07-06 01:46:00+00:00,0.05,56287.6,2024-07-06 15:52:00+00:00,0.05,57413.352,99.95,1.899,1.8981,-2.7938,Long,Closed,TP - Static,9720.55
2024-07-07 01:09:00+00:00,0.05,57882.9,2024-07-07 07:24:00+00:00,0.05,57304.071,99.95,-1.0995,-1.099,-3.8621,Long,Closed,SL - Static,9613.73
2024-07-07 12:18:00+00:00,0.05,57518.6,2024-07-07 13:18:00+00:00,0.05,56943.414,99.95,-1.0995,-1.099,-4.9187,Long,Closed,SL - Static,9508.08
2024-07-07 21:30:00+00:00,0.05,56217.9,2024-07-08 00:03:00+00:00,0.05,55655.721,99.95,-1.0995,-1.099,-5.9636,Long,Closed,SL - Static,9403.59
2024-07-08 02:22:00+00:00,0.05,55158.2,2024-07-08 08:06:00+00:00,0.05,56261.364,99.95,1.899,1.8981,-4.1787,Long,Closed,TP - Static,9582.08
2024-07-08 08:39:00+00:00,0.05,56764.9,2024-07-08 09:02:00+00:00,0.05,57900.198000000004,99.95,1.899,1.8981,-2.3599,Long,Closed,TP - Static,9763.95
2024-07-08 13:30:00+00:00,0.05,57167.3,2024-07-08 14:26:00+00:00,0.05,56595.627,99.95,-1.0995,-1.099,-3.433,Long,Closed,SL - Static,9656.65
2024-07-08 16:53:00+00:00,0.05,55831.0,2024-07-08 22:26:00+00:00,0.05,56947.62,99.95,1.899,1.8981,-1.6001,Long,Closed,TP - Static,9839.94
2024-07-09 00:21:00+00:00,0.05,56526.6,2024-07-09 06:31:00+00:00,0.05,57657.132,99.95,1.899,1.8981,0.2677,Long,Closed,TP - Static,10026.7
2024-07-09 07:23:00+00:00,0.05,57258.3,2024-07-10 04:02:00+00:00,0.05,58403.466,99.95,1.899,1.8981,2.1708,Long,Closed,TP - Static,10217.01
2024-07-10 06:23:00+00:00,0.05,59068.7,2024-07-10 09:25:00+00:00,0.05,58478.013,99.95,-1.0995,-1.099,1.048,Long,Closed,SL - Static,10104.73
2024-07-10 14:21:00+00:00,0.05,57626.3,2024-07-11 03:21:00+00:00,0.05,57050.037000000004,99.95,-1.0995,-1.099,-0.0625,Long,Closed,SL - Static,9993.69
2024-07-11 09:09:00+00:00,0.05,58171.299999999996,2024-07-11 12:30:00+00:00,0.05,59334.726,99.95,1.899,1.8981,1.8344,Long,Closed,TP - Static,10183.37
2024-07-11 15:02:00+00:00,0.05,57775.5,2024-07-11 16:04:00+00:00,0.05,57197.745,99.95,-1.0995,-1.099,0.7152,Long,Closed,SL - Static,10071.46
2024-07-11 23:35:00+00:00,0.05,57150.09999999999,2024-07-12 01:24:00+00:00,0.05,56578.598999999995,99.95,-1.0995,-1.099,-0.3916,Long,Closed,SL - Static,9960.78
2024-07-12 08:26:00+00:00,0.05,57053.00000000001,2024-07-12 15:56:00+00:00,0.05,58194.06,99.95,1.899,1.8981,1.499,Long,Closed,TP - Static,10149.84
2024-07-12 16:24:00+00:00,0.05,58156.40000000001,2024-07-13 05:28:00+00:00,0.05,57924.7,100.05,0.2986,0.2988,1.8023,Short,Closed,TP - Direction Change,10170.03
2024-07-13 05:28:00+00:00,0.05,57924.7,2024-07-13 19:44:00+00:00,0.05,58609.5,99.99,1.0816,1.0815,2.9033,Long,Closed,TP - Direction Change,10286.35
2024-07-13 19:44:00+00:00,0.05,58609.5,2024-07-13 22:53:00+00:00,0.05,59195.595,99.95,-1.1005,-1.1,1.7714,Short,Closed,SL - Static,10177.01
2024-07-14 05:05:00+00:00,0.05,60139.5,2024-07-14 14:28:00+00:00,0.05,59538.104999999996,99.95,-1.0995,-1.099,0.6529,Long,Closed,SL - Static,10065.17
2024-07-14 16:36:00+00:00,0.05,59910.40000000001,2024-07-14 21:20:00+00:00,0.05,60509.504,99.95,-1.1005,-1.1,-0.4543,Short,Closed,SL - Static,9954.45
2024-07-15 02:30:00+00:00,0.05,62199.5,2024-07-15 04:24:00+00:00,0.05,62821.495,99.95,-1.1005,-1.1,-1.5493,Short,Closed,SL - Static,9844.96
2024-07-15 10:47:00+00:00,0.05,62595.8,2024-07-15 15:02:00+00:00,0.05,63221.758,99.95,-1.1005,-1.1,-2.6322,Short,Closed,SL - Static,9736.67
2024-07-15 18:35:00+00:00,0.05,63400.1,2024-07-15 22:11:00+00:00,0.05,64034.101,99.95,-1.1005,-1.1,-3.7033,Short,Closed,SL - Static,9629.57
2024-07-16 01:42:00+00:00,0.05,64762.19999999999,2024-07-16 05:53:00+00:00,0.05,63466.956,99.95,1.901,1.9,-1.8737,Short,Closed,TP - Static,9812.54
2024-07-16 09:17:00+00:00,0.05,62956.6,2024-07-16 10:40:00+00:00,0.05,63586.166,99.95,-1.1005,-1.1,-2.953,Short,Closed,SL - Static,9704.61
2024-07-16 15:31:00+00:00,0.05,64380.80000000001,2024-07-16 16:03:00+00:00,0.05,65024.608,99.95,-1.1005,-1.1,-4.0206,Short,Closed,SL - Static,9597.86
2024-07-16 22:20:00+00:00,0.05,64369.399999999994,2024-07-16 23:19:00+00:00,0.05,65013.094000000005,99.95,-1.1005,-1.1,-5.0763,Short,Closed,SL - Static,9492.29
2024-07-17 06:46:00+00:00,0.05,65620.1,2024-07-17 16:12:00+00:00,0.05,64307.698000000004,99.95,1.901,1.9,-3.2728,Short,Closed,TP - Static,9672.65
2024-07-17 21:59:00+00:00,0.05,64308.600000000006,2024-07-18 02:02:00+00:00,0.05,64951.686,99.95,-1.1005,-1.1,-4.3368,Short,Closed,SL - Static,9566.25
2024-07-18 08:55:00+00:00,0.05,64870.1,2024-07-18 15:13:00+00:00,0.05,63572.698,99.95,1.901,1.9,-2.5192,Short,Closed,TP - Static,9748.02
2024-07-18 17:40:00+00:00,0.05,63760.0,2024-07-19 05:01:00+00:00,0.05,64087.5,99.94,-0.6139,-0.6135,-3.1172,Short,Closed,SL - Direction Change,9689.47
2024-07-19 05:01:00+00:00,0.05,64087.5,2024-07-19 08:12:00+00:00,0.05,63446.625,99.95,-1.0995,-1.099,-4.182,Long,Closed,SL - Static,9581.73
2024-07-19 14:48:00+00:00,0.05,65665.0,2024-07-19 16:03:00+00:00,0.05,66321.65,99.95,-1.1005,-1.1,-5.236,Short,Closed,SL - Static,9476.34
2024-07-19 21:38:00+00:00,0.05,67035.0,2024-07-21 17:00:00+00:00,0.05,67705.35,99.95,-1.1005,-1.1,-6.2784,Short,Closed,SL - Static,9372.11
2024-07-21 18:46:00+00:00,0.05,66948.3,2024-07-21 21:37:00+00:00,0.05,68287.266,99.95,1.899,1.8981,-4.4994,Long,Closed,TP - Static,9549.99
2024-07-22 03:28:00+00:00,0.05,67857.0,2024-07-23 00:19:00+00:00,0.05,67692.3,100.06,0.1428,0.1429,-4.363,Short,Closed,TP - Direction Change,9552.86
2024-07-23 00:19:00+00:00,0.05,67692.3,2024-07-23 04:40:00+00:00,0.05,67015.37700000001,99.95,-1.0995,-1.099,-5.414,Long,Closed,SL - Static,9458.53
2024-07-23 10:27:00+00:00,0.05,66891.7,2024-07-23 17:01:00+00:00,0.05,65840.1,100.12,1.4729,1.4747,-4.0192,Short,Closed,TP - Direction Change,9581.32
2024-07-23 17:01:00+00:00,0.05,65840.1,2024-07-24 21:31:00+00:00,0.05,65181.69900000001,99.95,-1.0995,-1.099,-5.074,Long,Closed,SL - Static,9492.3
2024-07-24 23:39:00+00:00,0.05,65288.90000000001,2024-07-25 01:08:00+00:00,0.05,64636.011,99.95,-1.0995,-1.099,-6.1172,Long,Closed,SL - Static,9387.98
2024-07-25 08:03:00+00:00,0.05,64078.0,2024-07-25 14:44:00+00:00,0.05,64718.78,99.95,-1.1005,-1.1,-7.1499,Short,Closed,SL - Static,9284.72
2024-07-25 16:17:00+00:00,0.05,64788.3,2024-07-25 22:05:00+00:00,0.05,66084.066,99.95,1.899,1.8981,-5.3876,Long,Closed,TP - Static,9460.95
2024-07-26 00:22:00+00:00,0.05,66238.8,2024-07-26 02:30:00+00:00,0.05,66901.18800000001,99.95,-1.1005,-1.1,-6.4283,Short,Closed,SL - Static,9356.88
2024-07-26 12:44:00+00:00,0.05,67107.5,2024-07-26 13:52:00+00:00,0.05,67778.575,99.95,-1.1005,-1.1,-7.4576,Short,Closed,SL - Static,9253.96
2024-07-26 21:23:00+00:00,0.05,67903.9,2024-07-27 13:10:00+00:00,0.05,68582.939,99.95,-1.1005,-1.1,-8.4755,Short,Closed,SL - Static,9152.17
2024-07-27 14:32:00+00:00,0.05,68914.2,2024-07-27 20:14:00+00:00,0.05,67535.916,99.95,1.901,1.9,-6.7366,Short,Closed,TP - Static,9326.07
2024-07-27 20:39:00+00:00,0.05,66952.2,2024-07-27 20:45:00+00:00,0.05,67621.722,99.95,-1.1005,-1.1,-7.7625,Short,Closed,SL - Static,9223.48
2024-07-28 03:48:00+00:00,0.05,68001.9,2024-07-28 04:59:00+00:00,0.05,67321.881,99.95,-1.0995,-1.099,-8.7762,Long,Closed,SL - Static,9122.12
2024-07-28 19:13:00+00:00,0.05,68193.5,2024-07-29 00:09:00+00:00,0.05,68875.435,99.95,-1.1005,-1.1,-9.7796,Short,Closed,SL - Static,9021.78
2024-07-29 06:46:00+00:00,0.05,69663.5,2024-07-29 14:02:00+00:00,0.05,68966.865,99.95,-1.0995,-1.099,-10.7712,Long,Closed,SL - Static,8922.64
2024-07-29 15:38:00+00:00,0.05,67787.2,2024-07-29 17:01:00+00:00,0.05,66431.45599999999,99.95,1.901,1.9,-9.0758,Short,Closed,TP - Static,9092.17
2024-07-29 23:17:00+00:00,0.05,66723.0,2024-07-30 09:53:00+00:00,0.05,66480.5,100.04,0.2636,0.2637,-8.836,Short,Closed,TP - Direction Change,9107.78
2024-07-30 09:53:00+00:00,0.05,66480.5,2024-07-30 14:58:00+00:00,0.05,65815.69499999999,99.95,-1.0995,-1.099,-9.8379,Long,Closed,SL - Static,9015.95
2024-07-30 17:53:00+00:00,0.05,65978.0,2024-07-31 04:23:00+00:00,0.05,65868.0,100.02,0.0668,0.0668,-9.7777,Short,Closed,TP - Direction Change,9015.56
2024-07-31 04:23:00+00:00,0.05,65868.0,2024-07-31 19:52:00+00:00,0.05,65209.32,99.95,-1.0995,-1.099,-10.7692,Long,Closed,SL - Static,8922.82
2024-07-31 21:46:00+00:00,0.05,64853.3,2024-08-01 15:17:00+00:00,0.05,63556.234000000004,99.95,1.901,1.9,-9.0739,Short,Closed,TP - Static,9092.36
2024-08-01 15:50:00+00:00,0.05,62839.2,2024-08-01 19:51:00+00:00,0.05,63467.592,99.95,-1.1005,-1.1,-10.074,Short,Closed,SL - Static,8992.35
2024-08-01 21:19:00+00:00,0.05,64718.700000000004,2024-08-01 22:11:00+00:00,0.05,65365.886999999995,99.95,-1.1005,-1.1,-11.0632,Short,Closed,SL - Static,8893.44
2024-08-02 05:33:00+00:00,0.05,64297.5,2024-08-02 11:25:00+00:00,0.05,64940.475,99.95,-1.1005,-1.1,-12.0415,Short,Closed,SL - Static,8795.61
2024-08-02 13:26:00+00:00,0.05,64807.4,2024-08-02 14:37:00+00:00,0.05,64159.326,99.95,-1.0995,-1.099,-13.0082,Long,Closed,SL - Static,8698.95
2024-08-02 17:09:00+00:00,0.05,63252.9,2024-08-02 19:40:00+00:00,0.05,62620.371,99.95,-1.0995,-1.099,-13.9642,Long,Closed,SL - Static,8603.36
2024-08-02 22:05:00+00:00,0.05,62126.5,2024-08-03 00:56:00+00:00,0.05,60883.97,99.95,1.901,1.9,-12.3296,Short,Closed,TP - Static,8766.82
2024-08-03 04:08:00+00:00,0.05,61815.200000000004,2024-08-03 15:49:00+00:00,0.05,61197.047999999995,99.95,-1.0995,-1.099,-13.2931,Long,Closed,SL - Static,8670.48
2024-08-03 16:16:00+00:00,0.05,60843.1,2024-08-03 18:33:00+00:00,0.05,60234.668999999994,99.95,-1.0995,-1.099,-14.246,Long,Closed,SL - Static,8575.2
2024-08-03 21:06:00+00:00,0.05,60094.9,2024-08-04 14:52:00+00:00,0.05,59493.951,99.95,-1.0995,-1.099,-15.1884,Long,Closed,SL - Static,8480.96
2024-08-04 16:36:00+00:00,0.05,59034.6,2024-08-04 17:10:00+00:00,0.05,58444.254,99.95,-1.0995,-1.099,-16.1205,Long,Closed,SL - Static,8387.76
2024-08-04 21:09:00+00:00,0.05,58989.99999999999,2024-08-04 21:56:00+00:00,0.05,58400.1,99.95,-1.0995,-1.099,-17.0423,Long,Closed,SL - Static,8295.58
2024-08-05 01:02:00+00:00,0.05,55982.100000000006,2024-08-05 01:06:00+00:00,0.05,55422.278999999995,99.95,-1.0995,-1.099,-17.954,Long,Closed,SL - Static,8204.42
2024-08-05 02:07:00+00:00,0.05,53931.6,2024-08-05 04:55:00+00:00,0.05,53392.284,99.95,-1.0995,-1.099,-18.8557,Long,Closed,SL - Static,8114.25
2024-08-05 04:58:00+00:00,0.05,53657.1,2024-08-05 05:03:00+00:00,0.05,53120.528999999995,99.95,-1.0995,-1.099,-19.7475,Long,Closed,SL - Static,8025.08
2024-08-05 06:24:00+00:00,0.05,50254.8,2024-08-05 06:25:00+00:00,0.05,49359.0,99.95,-1.8816,-1.8807,-21.2568,Long,Closed,SL - Static,7874.16
2024-08-05 08:03:00+00:00,0.05,52808.2,2024-08-05 08:11:00+00:00,0.05,52280.117999999995,99.95,-1.0995,-1.099,-22.1222,Long,Closed,SL - Static,7787.62
2024-08-05 10:38:00+00:00,0.05,50785.1,2024-08-05 11:15:00+00:00,0.05,51800.801999999996,99.95,1.899,1.8981,-20.644,Long,Closed,TP - Static,7935.44
